,Method,Subject,Accelorometer Axis,Average Degree,Network Diameter,Average Path Length,Activity,Body Part
56,NVG,3.0,y,10.3515625,40.02032548264907,40.02032548264907,Running,head
57,HVG,3.0,y,3.755859375,42.852244089076244,42.852244089076244,Running,head
58,NVG,3.0,z,10.064453125,4.915572687561095,4.915572687561095,Running,head
59,HVG,3.0,z,3.953125,9.964059063416423,9.964059063416423,Running,head
60,NVG,3.0,x,17.271484375,4.309830920087976,4.309830920087976,Climbing Up,head
61,HVG,3.0,x,3.91796875,23.260363208699903,23.260363208699903,Climbing Up,head
62,NVG,3.0,y,18.12109375,4.327643878299121,4.327643878299121,Climbing Up,head
63,HVG,3.0,y,3.94921875,13.89341817876344,13.89341817876344,Climbing Up,head
64,NVG,3.0,z,19.048828125,4.492542613636363,4.492542613636363,Climbing Up,head
65,HVG,3.0,z,3.927734375,20.7919186827957,20.7919186827957,Climbing Up,head
66,NVG,3.0,x,14.2109375,4.023006017839688,4.023006017839688,Climbing Down,head
67,HVG,3.0,x,3.955078125,14.587046752810362,14.587046752810362,Climbing Down,head
68,NVG,3.0,y,14.083984375,4.605029630987293,4.605029630987293,Climbing Down,head
69,HVG,3.0,y,3.962890625,12.988290796065494,12.988290796065494,Climbing Down,head
70,NVG,3.0,z,15.896484375,3.6814477944770285,3.6814477944770285,Climbing Down,head
71,HVG,3.0,z,3.91796875,20.040633782380255,20.040633782380255,Climbing Down,head
72,NVG,4.0,x,10.248046875,5.35895497311828,5.35895497311828,Walking,head
73,HVG,4.0,x,3.91796875,18.966537222018573,18.966537222018573,Walking,head
74,NVG,4.0,y,15.03515625,4.143103158602151,4.143103158602151,Walking,head
75,HVG,4.0,y,3.9609375,11.850985917644184,11.850985917644184,Walking,head
76,NVG,4.0,z,10.96875,4.527294110459433,4.527294110459433,Walking,head
77,HVG,4.0,z,3.939453125,14.313922363758554,14.313922363758554,Walking,head
78,NVG,4.0,x,9.873046875,4.973020909701857,4.973020909701857,Running,head
79,HVG,4.0,x,3.716796875,10.622812041788857,10.622812041788857,Running,head
80,NVG,4.0,y,10.728515625,4.458192051564027,4.458192051564027,Running,head
81,HVG,4.0,y,3.96875,10.71132697947214,10.71132697947214,Running,head
82,NVG,4.0,z,9.32421875,4.705177404081134,4.705177404081134,Running,head
83,HVG,4.0,z,3.962890625,9.21002107771261,9.21002107771261,Running,head
84,NVG,4.0,x,12.240234375,4.875110734359726,4.875110734359726,Climbing Up,head
85,HVG,4.0,x,3.947265625,14.221686369745846,14.221686369745846,Climbing Up,head
86,NVG,4.0,y,17.853515625,4.382701765640274,4.382701765640274,Climbing Up,head
87,HVG,4.0,y,3.95703125,14.728893649193548,14.728893649193548,Climbing Up,head
88,NVG,4.0,z,13.31640625,4.572466092375366,4.572466092375366,Climbing Up,head
89,HVG,4.0,z,3.91015625,19.675758339442815,19.675758339442815,Climbing Up,head
90,NVG,4.0,x,11.25390625,4.540736879887586,4.540736879887586,Climbing Down,head
91,HVG,4.0,x,3.943359375,16.304007820136853,16.304007820136853,Climbing Down,head
92,NVG,4.0,y,14.546875,4.811503390762463,4.811503390762463,Climbing Down,head
93,HVG,4.0,y,3.9609375,13.614974722018573,13.614974722018573,Climbing Down,head
94,NVG,4.0,z,12.064453125,4.592129078079179,4.592129078079179,Climbing Down,head
95,HVG,4.0,z,3.931640625,15.680808208088955,15.680808208088955,Climbing Down,head
96,NVG,5.0,x,8.998046875,4.848589855205279,4.848589855205279,Walking,head
97,HVG,5.0,x,3.953125,9.791002260508309,9.791002260508309,Walking,head
98,NVG,5.0,y,14.505859375,4.179916605571847,4.179916605571847,Walking,head
99,HVG,5.0,y,3.958984375,10.826057322214076,10.826057322214076,Walking,head
100,NVG,5.0,z,8.83984375,4.702714519183774,4.702714519183774,Walking,head
101,HVG,5.0,z,3.9609375,9.07297203384653,9.07297203384653,Walking,head
102,NVG,5.0,x,10.572265625,5.429023093841642,5.429023093841642,Running,head
103,HVG,5.0,x,3.94921875,9.797621502321602,9.797621502321602,Running,head
104,NVG,5.0,y,8.6484375,5.386844758064516,5.386844758064516,Running,head
105,HVG,5.0,y,3.962890625,9.10000076368524,9.10000076368524,Running,head
106,NVG,5.0,z,7.876953125,4.703510661045943,4.703510661045943,Running,head
107,HVG,5.0,z,3.9765625,8.10925471957478,8.10925471957478,Running,head
108,NVG,5.0,x,16.15625,4.266680794843597,4.266680794843597,Climbing Up,head
109,HVG,5.0,x,3.92578125,16.620648903347995,16.620648903347995,Climbing Up,head
110,NVG,5.0,y,15.7734375,4.074957615469208,4.074957615469208,Climbing Up,head
111,HVG,5.0,y,3.9375,14.369992134042032,14.369992134042032,Climbing Up,head
112,NVG,5.0,z,16.630859375,4.8405959799608995,4.8405959799608995,Climbing Up,head
113,HVG,5.0,z,3.923828125,18.33820755437439,18.33820755437439,Climbing Up,head
114,NVG,5.0,x,9.30859375,5.384496425953079,5.384496425953079,Climbing Down,head
115,HVG,5.0,x,3.962890625,12.043652248289344,12.043652248289344,Climbing Down,head
116,NVG,5.0,y,14.408203125,4.02992882453568,4.02992882453568,Climbing Down,head
117,HVG,5.0,y,3.955078125,13.884765625,13.884765625,Climbing Down,head
118,NVG,5.0,z,13.423828125,4.240352746212121,4.240352746212121,Climbing Down,head
119,HVG,5.0,z,3.908203125,16.907504353005866,16.907504353005866,Climbing Down,head
120,NVG,6.0,x,7.9296875,4.861062744379277,4.861062744379277,Walking,head
121,HVG,6.0,x,3.939453125,8.414910190615835,8.414910190615835,Walking,head
122,NVG,6.0,y,16.40234375,4.770088740224829,4.770088740224829,Walking,head
123,HVG,6.0,y,3.93359375,15.427948206867057,15.427948206867057,Walking,head
124,NVG,6.0,z,17.654296875,4.311942509775171,4.311942509775171,Walking,head
125,HVG,6.0,z,3.927734375,21.019790902981427,21.019790902981427,Walking,head
126,NVG,6.0,x,8.28515625,5.154365606671554,5.154365606671554,Running,head
127,HVG,6.0,x,3.9609375,10.743848515395895,10.743848515395895,Running,head
128,NVG,6.0,y,11.333984375,4.599618921065494,4.599618921065494,Running,head
129,HVG,6.0,y,3.9609375,11.243623228250245,11.243623228250245,Running,head
130,NVG,6.0,z,10.580078125,4.432524590664712,4.432524590664712,Running,head
131,HVG,6.0,z,3.96875,11.619157807917889,11.619157807917889,Running,head
132,NVG,6.0,x,9.3671875,4.751672470674487,4.751672470674487,Climbing Up,head
133,HVG,6.0,x,3.94921875,9.79939897971652,9.79939897971652,Climbing Up,head
134,NVG,6.0,y,16.30078125,4.263706240835777,4.263706240835777,Climbing Up,head
135,HVG,6.0,y,3.94140625,15.494062347262952,15.494062347262952,Climbing Up,head
136,NVG,6.0,z,16.11328125,5.256287038734115,5.256287038734115,Climbing Up,head
137,HVG,6.0,z,3.904296875,23.29219933712121,23.29219933712121,Climbing Up,head
138,NVG,6.0,x,9.453125,4.422230113636363,4.422230113636363,Climbing Down,head
139,HVG,6.0,x,3.9609375,10.92557123655914,10.92557123655914,Climbing Down,head
140,NVG,6.0,y,15.44921875,4.674250061094819,4.674250061094819,Climbing Down,head
141,HVG,6.0,y,3.927734375,15.008251619012707,15.008251619012707,Climbing Down,head
142,NVG,6.0,z,14.466796875,4.253617958822092,4.253617958822092,Climbing Down,head
143,HVG,6.0,z,3.880859375,22.04679672226295,22.04679672226295,Climbing Down,head
144,NVG,7.0,x,7.755859375,5.092117622800586,5.092117622800586,Walking,head
145,HVG,7.0,x,3.9609375,9.722744073802541,9.722744073802541,Walking,head
146,NVG,7.0,y,10.828125,4.1514578751221896,4.1514578751221896,Walking,head
147,HVG,7.0,y,3.958984375,9.52486559139785,9.52486559139785,Walking,head
148,NVG,7.0,z,9.94140625,4.0409278011974585,4.0409278011974585,Walking,head
149,HVG,7.0,z,3.966796875,8.648025109970675,8.648025109970675,Walking,head
150,NVG,7.0,x,7.685546875,5.157743004643207,5.157743004643207,Running,head
151,HVG,7.0,x,3.958984375,8.617489155669599,8.617489155669599,Running,head
152,NVG,7.0,y,9.658203125,4.574508950391007,4.574508950391007,Running,head
153,HVG,7.0,y,3.955078125,8.88166888135386,8.88166888135386,Running,head
154,NVG,7.0,z,10.50390625,4.6277053549608995,4.6277053549608995,Running,head
155,HVG,7.0,z,3.958984375,11.521568380376344,11.521568380376344,Running,head
156,NVG,7.0,x,10.314453125,5.057411947091887,5.057411947091887,Climbing Up,head
157,HVG,7.0,x,3.95703125,12.614957539100685,12.614957539100685,Climbing Up,head
158,NVG,7.0,y,15.39453125,4.239739888807429,4.239739888807429,Climbing Up,head
159,HVG,7.0,y,3.953125,14.157565447825025,14.157565447825025,Climbing Up,head
160,NVG,7.0,z,13.96875,4.485163505009775,4.485163505009775,Climbing Up,head
161,HVG,7.0,z,3.943359375,13.126819480083089,13.126819480083089,Climbing Up,head
162,NVG,7.0,x,7.9140625,5.188473698680352,5.188473698680352,Climbing Down,head
163,HVG,7.0,x,3.947265625,11.963180825391007,11.963180825391007,Climbing Down,head
164,NVG,7.0,y,13.578125,4.4907212243401755,4.4907212243401755,Climbing Down,head
165,HVG,7.0,y,3.955078125,16.64103166239003,16.64103166239003,Climbing Down,head
166,NVG,7.0,z,11.6484375,4.617269596163245,4.617269596163245,Climbing Down,head
167,HVG,7.0,z,3.9296875,13.71129643206256,13.71129643206256,Climbing Down,head
168,NVG,8.0,x,8.9765625,5.082168713343108,5.082168713343108,Walking,head
169,HVG,8.0,x,3.943359375,12.62561476661779,12.62561476661779,Walking,head
170,NVG,8.0,y,16.51171875,4.540897253787879,4.540897253787879,Walking,head
171,HVG,8.0,y,3.91796875,22.106799471529815,22.106799471529815,Walking,head
172,NVG,8.0,z,18.248046875,4.311797409579667,4.311797409579667,Walking,head
173,HVG,8.0,z,3.94921875,19.046464519183772,19.046464519183772,Walking,head
174,NVG,8.0,x,8.591796875,5.165536412512219,5.165536412512219,Running,head
175,HVG,8.0,x,3.95703125,10.589417995478984,10.589417995478984,Running,head
176,NVG,8.0,y,11.83203125,4.645911611070381,4.645911611070381,Running,head
177,HVG,8.0,y,3.9609375,13.19558169904692,13.19558169904692,Running,head
178,NVG,8.0,z,11.650390625,4.8428717619745845,4.8428717619745845,Running,head
179,HVG,8.0,z,3.91796875,15.355823863636363,15.355823863636363,Running,head
180,NVG,8.0,x,8.791015625,4.675464320625611,4.675464320625611,Climbing Up,head
181,HVG,8.0,x,3.96875,10.173629566837732,10.173629566837732,Climbing Up,head
182,NVG,8.0,y,18.87109375,4.322328629032258,4.322328629032258,Climbing Up,head
183,HVG,8.0,y,3.9375,17.83656944953568,17.83656944953568,Climbing Up,head
184,NVG,8.0,z,18.630859375,5.044291834677419,5.044291834677419,Climbing Up,head
185,HVG,8.0,z,3.916015625,19.494616019061585,19.494616019061585,Climbing Up,head
186,NVG,8.0,x,8.40625,5.587984176441838,5.587984176441838,Climbing Down,head
187,HVG,8.0,x,3.9453125,12.312566822458455,12.312566822458455,Climbing Down,head
188,NVG,8.0,y,18.130859375,4.968551441837732,4.968551441837732,Climbing Down,head
189,HVG,8.0,y,3.951171875,19.5838335471652,19.5838335471652,Climbing Down,head
190,NVG,8.0,z,15.62890625,4.542208883186706,4.542208883186706,Climbing Down,head
191,HVG,8.0,z,3.90625,16.76724783113392,16.76724783113392,Climbing Down,head
192,NVG,9.0,x,7.37109375,4.88876160801564,4.88876160801564,Walking,head
193,HVG,9.0,x,3.96875,7.976795423998045,7.976795423998045,Walking,head
194,NVG,9.0,y,18.09765625,4.177224615102639,4.177224615102639,Walking,head
195,HVG,9.0,y,3.94921875,14.345201001955035,14.345201001955035,Walking,head
196,NVG,9.0,z,16.115234375,4.770306390518084,4.770306390518084,Walking,head
197,HVG,9.0,z,3.935546875,16.602396826124146,16.602396826124146,Walking,head
198,NVG,9.0,x,8.083984375,5.424299700635386,5.424299700635386,Running,head
199,HVG,9.0,x,3.888671875,9.374725073313783,9.374725073313783,Running,head
200,NVG,9.0,y,12.462890625,5.2118157380254155,5.2118157380254155,Running,head
201,HVG,9.0,y,3.94921875,12.296810086754643,12.296810086754643,Running,head
202,NVG,9.0,z,10.048828125,4.839284350562072,4.839284350562072,Running,head
203,HVG,9.0,z,3.955078125,13.639263731060606,13.639263731060606,Running,head
204,NVG,9.0,x,9.9296875,5.004647024682307,5.004647024682307,Climbing Up,head
205,HVG,9.0,x,3.94140625,14.276784350562073,14.276784350562073,Climbing Up,head
206,NVG,9.0,y,20.333984375,4.421750901148583,4.421750901148583,Climbing Up,head
207,HVG,9.0,y,3.927734375,20.25048303091398,20.25048303091398,Climbing Up,head
208,NVG,9.0,z,15.55078125,4.746897528714565,4.746897528714565,Climbing Up,head
209,HVG,9.0,z,3.900390625,18.83330851356305,18.83330851356305,Climbing Up,head
210,NVG,9.0,x,9.375,4.498020146016618,4.498020146016618,Climbing Down,head
211,HVG,9.0,x,3.951171875,16.37524056085044,16.37524056085044,Climbing Down,head
212,NVG,9.0,y,16.81640625,4.452011928763441,4.452011928763441,Climbing Down,head
213,HVG,9.0,y,3.935546875,16.586321251832846,16.586321251832846,Climbing Down,head
214,NVG,9.0,z,17.603515625,4.292756827346041,4.292756827346041,Climbing Down,head
215,HVG,9.0,z,3.884765625,29.469511776026394,29.469511776026394,Climbing Down,head
216,NVG,10.0,x,8.75390625,5.114331317204301,5.114331317204301,Walking,head
217,HVG,10.0,x,3.9453125,12.842816394794722,12.842816394794722,Walking,head
218,NVG,10.0,y,15.291015625,4.364947993035191,4.364947993035191,Walking,head
219,HVG,10.0,y,3.9765625,13.798096896383187,13.798096896383187,Walking,head
220,NVG,10.0,z,13.4921875,4.625824780058651,4.625824780058651,Walking,head
221,HVG,10.0,z,3.931640625,15.618323481793745,15.618323481793745,Walking,head
222,NVG,10.0,x,7.9140625,5.15781364552786,5.15781364552786,Running,head
223,HVG,10.0,x,3.9296875,9.171493157380255,9.171493157380255,Running,head
224,NVG,10.0,y,11.330078125,4.509857267228739,4.509857267228739,Running,head
225,HVG,10.0,y,3.94921875,11.48368577407136,11.48368577407136,Running,head
226,NVG,10.0,z,12.357421875,4.4760202834799605,4.4760202834799605,Running,head
227,HVG,10.0,z,3.951171875,12.070341138196481,12.070341138196481,Running,head
228,NVG,10.0,x,9.73828125,5.110123411534702,5.110123411534702,Climbing Up,head
229,HVG,10.0,x,3.94140625,15.174313065127077,15.174313065127077,Climbing Up,head
230,NVG,10.0,y,15.892578125,4.801336831011731,4.801336831011731,Climbing Up,head
231,HVG,10.0,y,3.921875,18.341352028347995,18.341352028347995,Climbing Up,head
232,NVG,10.0,z,17.23046875,4.445629429374389,4.445629429374389,Climbing Up,head
233,HVG,10.0,z,3.888671875,23.830194586999024,23.830194586999024,Climbing Up,head
234,NVG,10.0,x,8.259765625,4.8760748869745845,4.8760748869745845,Climbing Down,head
235,HVG,10.0,x,3.974609375,9.820409869868035,9.820409869868035,Climbing Down,head
236,NVG,10.0,y,14.447265625,4.351507132820137,4.351507132820137,Climbing Down,head
237,HVG,10.0,y,3.9453125,13.154210960410557,13.154210960410557,Climbing Down,head
238,NVG,10.0,z,13.876953125,3.937929572947214,3.937929572947214,Climbing Down,head
239,HVG,10.0,z,3.9296875,19.286009668255133,19.286009668255133,Climbing Down,head
240,NVG,11.0,x,10.224609375,5.6599424181329425,5.6599424181329425,Walking,head
241,HVG,11.0,x,3.9453125,14.668278042521994,14.668278042521994,Walking,head
242,NVG,11.0,y,14.31640625,4.493281479105572,4.493281479105572,Walking,head
243,HVG,11.0,y,3.953125,18.59665009469697,18.59665009469697,Walking,head
244,NVG,11.0,z,14.07421875,4.680055978128054,4.680055978128054,Walking,head
245,HVG,11.0,z,3.896484375,17.78180367179863,17.78180367179863,Walking,head
246,NVG,11.0,x,9.248046875,5.205429420210166,5.205429420210166,Running,head
247,HVG,11.0,x,3.955078125,10.686495753910068,10.686495753910068,Running,head
248,NVG,11.0,y,9.46484375,5.299408525782014,5.299408525782014,Running,head
249,HVG,11.0,y,3.958984375,10.548593291788857,10.548593291788857,Running,head
250,NVG,11.0,z,7.873046875,4.419102822580645,4.419102822580645,Running,head
251,HVG,11.0,z,3.9765625,7.688607343597263,7.688607343597263,Running,head
252,NVG,11.0,x,9.09765625,4.693968413978495,4.693968413978495,Climbing Up,head
253,HVG,11.0,x,3.96875,10.27573619257087,10.27573619257087,Climbing Up,head
254,NVG,11.0,y,17.103515625,4.138765426441838,4.138765426441838,Climbing Up,head
255,HVG,11.0,y,3.939453125,18.181484069525904,18.181484069525904,Climbing Up,head
256,NVG,11.0,z,12.62109375,4.244577834799609,4.244577834799609,Climbing Up,head
257,HVG,11.0,z,3.951171875,13.705354960899315,13.705354960899315,Climbing Up,head
258,NVG,11.0,x,8.720703125,4.562167796920821,4.562167796920821,Climbing Down,head
259,HVG,11.0,x,3.955078125,12.714480999511242,12.714480999511242,Climbing Down,head
260,NVG,11.0,y,14.166015625,4.834035923753666,4.834035923753666,Climbing Down,head
261,HVG,11.0,y,3.92578125,15.250490667766373,15.250490667766373,Climbing Down,head
262,NVG,11.0,z,12.783203125,3.965859451368524,3.965859451368524,Climbing Down,head
263,HVG,11.0,z,3.865234375,27.424379887585534,27.424379887585534,Climbing Down,head
264,NVG,12.0,x,9.06640625,6.085357099217986,6.085357099217986,Walking,head
265,HVG,12.0,x,3.951171875,13.59753596957478,13.59753596957478,Walking,head
266,NVG,12.0,y,10.15234375,4.598880055596285,4.598880055596285,Walking,head
267,HVG,12.0,y,3.9375,14.77595957050342,14.77595957050342,Walking,head
268,NVG,12.0,z,14.125,4.298476829789834,4.298476829789834,Walking,head
269,HVG,12.0,z,3.9375,13.442347492057673,13.442347492057673,Walking,head
270,NVG,12.0,x,9.953125,5.1200608657135875,5.1200608657135875,Running,head
271,HVG,12.0,x,3.81640625,9.876109252810362,9.876109252810362,Running,head
272,NVG,12.0,y,8.404296875,5.0426709127565985,5.0426709127565985,Running,head
273,HVG,12.0,y,3.9453125,13.257736131476051,13.257736131476051,Running,head
274,NVG,12.0,z,9.146484375,4.820301044721408,4.820301044721408,Running,head
275,HVG,12.0,z,3.966796875,9.569762646627566,9.569762646627566,Running,head
276,NVG,12.0,x,9.822265625,5.356033877077224,5.356033877077224,Climbing Up,head
277,HVG,12.0,x,3.96484375,12.850355877321602,12.850355877321602,Climbing Up,head
278,NVG,12.0,y,12.4609375,4.567278760386119,4.567278760386119,Climbing Up,head
279,HVG,12.0,y,3.9453125,15.303931451612904,15.303931451612904,Climbing Up,head
280,NVG,12.0,z,15.419921875,4.357901087487781,4.357901087487781,Climbing Up,head
281,HVG,12.0,z,3.908203125,17.63264258003421,17.63264258003421,Climbing Up,head
282,NVG,12.0,x,9.3515625,5.451530807062561,5.451530807062561,Climbing Down,head
283,HVG,12.0,x,3.923828125,16.809907288611925,16.809907288611925,Climbing Down,head
284,NVG,12.0,y,15.912109375,4.7790830431329425,4.7790830431329425,Climbing Down,head
285,HVG,12.0,y,3.890625,18.70169881781525,18.70169881781525,Climbing Down,head
286,NVG,12.0,z,15.3125,4.408405501588465,4.408405501588465,Climbing Down,head
287,HVG,12.0,z,3.912109375,17.24923440554741,17.24923440554741,Climbing Down,head
288,NVG,13.0,x,11.021484375,5.034174914467253,5.034174914467253,Walking,head
289,HVG,13.0,x,3.9453125,16.068334555229715,16.068334555229715,Walking,head
290,NVG,13.0,y,13.78125,4.494419370112414,4.494419370112414,Walking,head
291,HVG,13.0,y,3.94921875,13.48150545271261,13.48150545271261,Walking,head
292,NVG,13.0,z,15.369140625,4.381308040078201,4.381308040078201,Walking,head
293,HVG,13.0,z,3.90625,21.635748869745846,21.635748869745846,Walking,head
294,NVG,13.0,x,8.80859375,5.387986467497556,5.387986467497556,Running,head
295,HVG,13.0,x,3.79296875,9.860006949535679,9.860006949535679,Running,head
296,NVG,13.0,y,10.703125,5.284741950757576,5.284741950757576,Running,head
297,HVG,13.0,y,3.947265625,10.90558941226784,10.90558941226784,Running,head
298,NVG,13.0,z,12.541015625,4.694082966764419,4.694082966764419,Running,head
299,HVG,13.0,z,3.939453125,14.081072825024439,14.081072825024439,Running,head
300,NVG,13.0,x,11.640625,4.580068578934506,4.580068578934506,Climbing Up,head
301,HVG,13.0,x,3.92578125,17.427503360215052,17.427503360215052,Climbing Up,head
302,NVG,13.0,y,15.7265625,4.602677480449658,4.602677480449658,Climbing Up,head
303,HVG,13.0,y,3.947265625,18.629186904325515,18.629186904325515,Climbing Up,head
304,NVG,13.0,z,17.712890625,4.475542980205279,4.475542980205279,Climbing Up,head
305,HVG,13.0,z,3.916015625,21.921115133186706,21.921115133186706,Climbing Up,head
306,NVG,13.0,x,9.103515625,4.624333684628543,4.624333684628543,Climbing Down,head
307,HVG,13.0,x,3.955078125,10.57049196603128,10.57049196603128,Climbing Down,head
308,NVG,13.0,y,14.037109375,4.421993371212121,4.421993371212121,Climbing Down,head
309,HVG,13.0,y,3.951171875,13.5300471957478,13.5300471957478,Climbing Down,head
310,NVG,13.0,z,13.22265625,4.271463373655914,4.271463373655914,Climbing Down,head
311,HVG,13.0,z,3.95703125,12.888784518572825,12.888784518572825,Climbing Down,head
312,NVG,14.0,x,9.81640625,5.287645863880743,5.287645863880743,Walking,head
313,HVG,14.0,x,3.953125,13.667928656524927,13.667928656524927,Walking,head
314,NVG,14.0,y,13.939453125,4.47133507453568,4.47133507453568,Walking,head
315,HVG,14.0,y,3.953125,13.222392778592376,13.222392778592376,Walking,head
316,NVG,14.0,z,12.580078125,4.622227822580645,4.622227822580645,Walking,head
317,HVG,14.0,z,3.958984375,13.25734856121701,13.25734856121701,Walking,head
318,NVG,14.0,x,9.12109375,5.605944144061583,5.605944144061583,Running,head
319,HVG,14.0,x,3.90625,10.353698909457478,10.353698909457478,Running,head
320,NVG,14.0,y,12.359375,14.644727898949169,14.644727898949169,Running,head
321,HVG,14.0,y,3.908203125,19.503795515640274,19.503795515640274,Running,head
322,NVG,14.0,z,8.810546875,4.532838465298143,4.532838465298143,Running,head
323,HVG,14.0,z,3.962890625,9.93778638196481,9.93778638196481,Running,head
324,NVG,14.0,x,10.615234375,4.845544660312806,4.845544660312806,Climbing Up,head
325,HVG,14.0,x,3.95703125,12.422102196358749,12.422102196358749,Climbing Up,head
326,NVG,14.0,y,14.73046875,4.826937469452591,4.826937469452591,Climbing Up,head
327,HVG,14.0,y,3.939453125,14.934716367302054,14.934716367302054,Climbing Up,head
328,NVG,14.0,z,16.173828125,5.384101218841642,5.384101218841642,Climbing Up,head
329,HVG,14.0,z,3.91796875,17.852320457600197,17.852320457600197,Climbing Up,head
330,NVG,14.0,x,7.375,5.221264433651027,5.221264433651027,Climbing Down,head
331,HVG,14.0,x,3.94921875,10.203585120356793,10.203585120356793,Climbing Down,head
332,NVG,14.0,y,11.720703125,4.723687225073314,4.723687225073314,Climbing Down,head
333,HVG,14.0,y,3.953125,12.59196297653959,12.59196297653959,Climbing Down,head
334,NVG,14.0,z,8.763671875,4.745595445381231,4.745595445381231,Climbing Down,head
335,HVG,14.0,z,3.94921875,9.770970796676442,9.770970796676442,Climbing Down,head
336,NVG,15.0,x,7.361328125,5.09107519244868,5.09107519244868,Walking,head
